"ecosystem","component","package","version","relationship","development_only","optional","licence_from_source","source_file","installation_path"
"npm","frontend","@img/sharp-libvips-linux-arm","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-linux-arm"
"npm","frontend","@img/sharp-libvips-linux-arm64","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-linux-arm64"
"npm","frontend","@img/sharp-libvips-linux-ppc64","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-linux-ppc64"
"npm","frontend","@img/sharp-libvips-linux-riscv64","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-linux-riscv64"
"npm","frontend","@img/sharp-libvips-linux-s390x","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-linux-s390x"
"npm","frontend","@img/sharp-libvips-linux-x64","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-linux-x64"
"npm","frontend","@img/sharp-libvips-linuxmusl-arm64","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-linuxmusl-arm64"
"npm","frontend","@img/sharp-libvips-linuxmusl-x64","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-linuxmusl-x64"
"npm","frontend","@img/sharp-linux-arm","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-linux-arm"
"npm","frontend","@img/sharp-linux-arm64","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-linux-arm64"
"npm","frontend","@img/sharp-linux-ppc64","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-linux-ppc64"
"npm","frontend","@img/sharp-linux-riscv64","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-linux-riscv64"
"npm","frontend","@img/sharp-linux-s390x","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-linux-s390x"
"npm","frontend","@img/sharp-linux-x64","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-linux-x64"
